study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S060,2024,Navarro-Ledesma et al.,Fibromyalgia,clinical,adult,Rct,peripheral,850,20,12,double-blind,sham-controlled,Pain,positive,42,"Outcomes of whole-body photobiomodulation on pain, quality of life, leisure physical activity, pain catastrophizing, kinesiophobia, and self-efficacy: a prospective randomized triple-blinded clinical trial with 6 months of follow-up",Frontiers
S060,2024,Navarro-Ledesma et al.,Fibromyalgia,clinical,adult,Rct,peripheral,850,20,12,double-blind,sham-controlled,Sleep,positive,42,"Outcomes of whole-body photobiomodulation on pain, quality of life, leisure physical activity, pain catastrophizing, kinesiophobia, and self-efficacy: a prospective randomized triple-blinded clinical trial with 6 months of follow-up",Frontiers
S066,2024,Poiani et al.,Natural Aging,aging,geriatric,Rct,transcranial,850,20,24,double-blind,placebo-controlled,Cognitive Function,positive,40,"Transcranial photobiomodulation increases cognition and serum BDNF levels in adults over 50 years: A randomized, double-blind, placebo-controlled trial",Pubmed
S041,2024,Razzaghi et al.,Alzheimer's,clinical,geriatric,Rct,transcranial,810,20,84,double-blind,sham-controlled,Cognitive Function,positive,13,Photobiomodulation's potential as a non-invasive therapy for alzheimer's disease and minimal cognitive impairment: A 12-week investigation,PubMed
S041,2024,Razzaghi et al.,Alzheimer's,clinical,geriatric,Rct,transcranial,810,20,84,double-blind,sham-controlled,Dementia,positive,13,Photobiomodulation's potential as a non-invasive therapy for alzheimer's disease and minimal cognitive impairment: A 12-week investigation,PubMed
S005,2024,Weerasekera et al.,Major Depressive Disorder,clinical,adult,Randomized Spectroscopy Study,transcranial,850,NA,4,single-blind,sham-controlled,Brain Temperature,mixed,30,Dose-dependent effects of transcranial photobiomodulation on brain temperature in patients with major depressive disorder: a spectroscopy study,PubMed
S005,2024,Weerasekera et al.,Major Depressive Disorder,clinical,adult,Randomized Spectroscopy Study,transcranial,850,NA,4,single-blind,sham-controlled,Safety,mixed,30,Dose-dependent effects of transcranial photobiomodulation on brain temperature in patients with major depressive disorder: a spectroscopy study,PubMed
S023,2024,de Oliveira et al.,Mild Cognitive Impairment,aging,geriatric,Rct,transcranial,660,20,24,double-blind,placebo-controlled,Cognitive Function,positive,76,"Transcranial photobiomodulation increases cognition and serum BDNF levels in adults over 50 years: A randomized, double-blind, placebo-controlled trial",ScienceDirect
S023,2024,de Oliveira et al.,Mild Cognitive Impairment,aging,geriatric,Rct,transcranial,660,20,24,double-blind,placebo-controlled,Memory,positive,76,"Transcranial photobiomodulation increases cognition and serum BDNF levels in adults over 50 years: A randomized, double-blind, placebo-controlled trial",ScienceDirect
S028,2025,Ceranoglu et al.,ADHD,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,ADHD Symptoms,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
